Date,Open,High,Low,Close,Adj Close,Volume
1996-07-29,34.25,34.25,34.25,34.25,16.614986419677734,500
1996-07-30,33.0,33.0,32.25,32.25,15.644769668579102,900
1996-07-31,33.0,33.0,33.0,33.0,16.008604049682617,500
1996-08-01,30.0,31.0,30.0,30.100000381469727,14.601786613464355,3000
1996-08-02,30.5,30.5,29.75,29.75,14.431998252868652,2300
1996-08-05,30.5,30.5,27.0,27.0,13.097946166992188,5500
1996-08-06,27.5,27.899999618530273,26.5,26.549999237060547,12.87964916229248,5500
1996-08-07,27.5,29.25,27.5,29.25,14.189441680908203,3200
1996-08-08,32.25,32.349998474121094,32.25,32.349998474121094,15.693279266357422,1500
1996-08-09,32.75,33.099998474121094,32.45000076293945,33.04999923706055,16.03285789489746,5600
1996-08-12,31.5,32.0,31.100000381469727,31.100000381469727,15.086894989013672,2800
1996-08-13,30.299999237060547,30.5,28.75,29.149999618530273,14.140932083129883,3600
1996-08-14,29.399999618530273,30.0,29.0,29.049999237060547,14.09242057800293,1100
1996-08-15,29.049999237060547,29.049999237060547,29.049999237060547,29.049999237060547,14.09242057800293,0
1996-08-16,29.0,29.0,27.549999237060547,27.799999237060547,13.48603343963623,1300
1996-08-19,27.049999237060547,28.75,27.049999237060547,28.75,13.946885108947754,1600
1996-08-20,27.200000762939453,27.5,27.0,27.200000762939453,13.194966316223145,11400
1996-08-21,27.299999237060547,30.0,27.299999237060547,30.0,14.553275108337402,8900
1996-08-22,30.649999618530273,30.649999618530273,29.799999237060547,30.299999237060547,14.698805809020996,1700
1996-08-23,30.700000762939453,30.950000762939453,30.200000762939453,30.399999618530273,14.747316360473633,1900
1996-08-26,30.75,32.0,30.5,31.25,15.159661293029785,3400
1996-08-27,31.0,31.700000762939453,30.350000381469727,31.25,15.159661293029785,2300
1996-08-28,31.0,33.75,31.0,33.75,16.3724365234375,800
1996-08-29,33.5,33.5,31.0,31.299999237060547,15.183917045593262,4800
1996-08-30,32.0,32.5,31.75,32.25,15.644769668579102,1500
1996-09-02,32.04999923706055,32.04999923706055,29.5,30.75,14.917105674743652,5900
1996-09-03,30.75,30.75,28.950000762939453,29.700000762939453,14.40774154663086,8500
1996-09-04,29.5,29.5,28.75,28.899999618530273,14.019658088684082,6100
